video_id,author,comment,likes,published
CPWxExGk7PM,@Tomato700,"move over ➡️⤵️ brat summer 🟩🍏☀️, this 👇 year WE (me and YOU, yes YOU🫵) will all have ye's CUCK 💁♂️ playing ▶️ on 🔛 repeat 🔁🔁🔁",1,2025-05-15T05:38:38Z
CPWxExGk7PM,@Ninjifloss23,stop the flashing lights its actually hurting my eyes,1,2025-05-15T05:12:24Z
CPWxExGk7PM,@Rhett-x9k,I feel like everybody is literally here from DTI👁️👄👁️,0,2025-05-14T20:05:54Z
CPWxExGk7PM,@ThatPanGenderFucker,Rip Dionysus,0,2025-05-14T19:52:14Z
CPWxExGk7PM,@bella-wn9os,1 month until it's been a whole year since BRAT SUMMER,3,2025-05-13T22:19:42Z
CPWxExGk7PM,@FionaMcalinden,❤❤❤❤❤❤❤rip 🙏 🪦,0,2025-05-13T16:45:11Z
CPWxExGk7PM,@Asa-e4i3b,Dress to impress vibes,4,2025-05-12T20:26:18Z
CPWxExGk7PM,@Bluehb1,11 months old? It felt 3 months,1,2025-05-12T18:14:49Z
CPWxExGk7PM,@PXZixas,Pls stop flashing us,0,2025-05-12T06:44:33Z
CPWxExGk7PM,@solarslunarss,It about to be a 1 year anniversary for brat and this still HIT HARD.,3,2025-05-12T02:38:41Z
CPWxExGk7PM,@Juliasmliedog,I love this song too much 😊,0,2025-05-12T00:53:29Z
CPWxExGk7PM,@magdahauzer9876,I miss brat sumer already,0,2025-05-11T15:54:39Z
CPWxExGk7PM,@TracyJoleen,Diam apple dies 😂😂,0,2025-05-11T14:55:59Z
CPWxExGk7PM,@filthycockroach,"At this point this song is ✨ classic ✨ 
💚💚💚",1,2025-05-11T10:20:06Z
CPWxExGk7PM,@Norta-dc1oy,To celebrate there 1st anniversary 🎉,0,2025-05-11T10:08:19Z
CPWxExGk7PM,@Norta-dc1oy,Anyone in 2025,0,2025-05-11T10:08:01Z
CPWxExGk7PM,@shearlix,"the album cover for this song on spotify is starting to rot, i guess its a pretty Bad Apple now",5,2025-05-11T02:47:37Z
CPWxExGk7PM,@PRINCELLAMAHO-e6m,who came here from dti,0,2025-05-10T20:18:21Z
CPWxExGk7PM,@REIsist,Absoute icon,0,2025-05-10T16:47:19Z
CPWxExGk7PM,@Lia-y2c3c,HELP HOE DID SHE KNOW I WAS AT THE AIRPORT,1,2025-05-10T09:53:20Z
CPWxExGk7PM,@Tenshii_Artii,"Wow. Trying to speak this from the bottom of my heart without going too much on a tangent. All I can say is that all the of the lyrics, resonate how I feel when I've been self-reflecting for 2 years now. Even driving around, gave me solace and peace.

I just hope I don't turn out to be a bad person. I hope I can function well in society one day. I hope that as the eldest child, the Apple would fall far away from one half of my tree. While I will continue to roll into the path of the brighter, flourishing side of the other half, who has always been there to support me and understood me.",0,2025-05-10T04:11:15Z
CPWxExGk7PM,@langlangie,Who create this MV with a extreme light should go to jail. Damn bad but not serve the song.,1,2025-05-10T03:49:04Z
CPWxExGk7PM,@teenm.t.a.1250,"For a cringey YT Shorts ad, this song kinda slaps",0,2025-05-10T03:36:37Z
CPWxExGk7PM,@tycjantycjan1012,I wanna hear Charlie unplugged 😅😂😅😂,0,2025-05-09T21:07:11Z
CPWxExGk7PM,@lalicho327,I came here because I saw Rose dance this song … This song so good,0,2025-05-09T15:52:41Z
CPWxExGk7PM,@vrushaliindulkar3880,Me remembering the brat update in dti 🤣🤣💀💀💀☠️☠️🥲🥲😭😭😭,1,2025-05-09T05:40:09Z
CPWxExGk7PM,@ConstantinoValdez-r8u,Is the apple is yellow or green,1,2025-05-08T23:27:45Z
CPWxExGk7PM,@ConstantinoValdez-r8u,TO THE AIRPORT THE AIRPORT,0,2025-05-08T23:27:13Z
CPWxExGk7PM,@rosénin_edt,Wow,0,2025-05-08T14:33:16Z
CPWxExGk7PM,@barryoneill-ec9zz,"Apple suck, They don't even have a comment section on YouTube,
They are the greediest company to ever exist",0,2025-05-08T14:28:50Z
CPWxExGk7PM,@ahmednimal7566,🌚🔫💯💯🔥🔥🔥,1,2025-05-08T05:32:40Z
CPWxExGk7PM,@timob1681,"it really throws me off every time she says ""I just wanna d-"" and it ends up being ""drive to the airport"" and not ""die"" like my brain always expects 😂",1,2025-05-07T20:55:29Z
CPWxExGk7PM,@DieguitoChavez-t5s,"🍎
Néctar De Manzana Kerns
Néctar De Manzana Kerns Junior
Néctar De Manzana Del Frutal
Néctar De Manzana Del Monte
Néctar De Manzana Fruvita",0,2025-05-07T15:54:38Z
CPWxExGk7PM,@DieguitoChavez-t5s,"🍎
Néctar De Manzana Pulp AJE
Néctar De Manzana Petit",0,2025-05-07T15:54:13Z
CPWxExGk7PM,@darajoyce5514,listened to this. why is it so short.,2,2025-05-07T14:25:58Z
CPWxExGk7PM,@cs.vlogs6,i sense new charli era,1,2025-05-07T12:57:20Z
CPWxExGk7PM,@zyozyo_zone21,WHATS WRONG WITH THE ALBUM,1,2025-05-06T21:50:02Z
CPWxExGk7PM,@jiminiepaaboo8735,Looks like I'm not the only one who came after Rosé's reel🤌🏻,9,2025-05-06T07:49:44Z
CPWxExGk7PM,@ClarisaChavez-c3,-xd-,1,2025-05-06T02:53:08Z
CPWxExGk7PM,@GeronimoVelasco-qq7sv,1:16 jamás me olvidare de esa parte,0,2025-05-05T23:38:42Z
CPWxExGk7PM,@muhammedirfans4412,Rosé brought me back to this song again,4,2025-05-05T20:18:05Z
CPWxExGk7PM,@labiusair,here after seeing rosé's apple dance challenge at Charlie's concert,8,2025-05-05T18:07:32Z
CPWxExGk7PM,@PhuongNguyen-vo3tu,Rosé,4,2025-05-05T15:10:06Z
CPWxExGk7PM,@reefajr,came here after Rose's TikTok not a bad song tho,5,2025-05-05T14:06:49Z
CPWxExGk7PM,@NahoWong,Who come here after rosés reel😂,30,2025-05-05T09:45:22Z
CPWxExGk7PM,@Ano_nymouss,Sounds like Fashion by Britney Manson,1,2025-05-05T04:44:48Z
CPWxExGk7PM,@seoce,1:20 do you guys hear molly too,0,2025-05-05T04:37:48Z
CPWxExGk7PM,@BigBlue-xt9ss,Anyone here may 2025? 😍,1,2025-05-04T17:23:02Z
CPWxExGk7PM,@QueenV72,ima go epileptic help,1,2025-05-04T08:39:55Z
CPWxExGk7PM,@flutter_roblox-j1t,1:15 is iconic,1,2025-05-03T20:05:50Z
CPWxExGk7PM,@Kylovesall593,"Charlie xcx never fails to slay bro, gurl even got a deal with multiple companies. I’m jealous of gurl",0,2025-05-03T18:24:43Z
CPWxExGk7PM,@MachiavellisThePrince,Be airport.,0,2025-05-03T16:53:52Z
CPWxExGk7PM,@ChaNel-c7z,slay ,0,2025-05-03T15:11:48Z
CPWxExGk7PM,@jelly__jilli,Looks like a good physics experiment.,0,2025-05-03T08:37:00Z
CPWxExGk7PM,@HABIBICOMETOOKURDISTAN,Bro is this song is best song for ads or airports or movies trailer,0,2025-05-03T00:36:08Z
CPWxExGk7PM,@StrawberryDeveloper.,I wish she made a music video of this,0,2025-05-02T12:48:13Z
CPWxExGk7PM,@YasmineDaniels-r3d,apple so far is a,1,2025-04-30T20:47:24Z
CPWxExGk7PM,@1v1stormer,2025 anyone 😂,1,2025-04-30T20:17:51Z
CPWxExGk7PM,@Catz-i,im so glad dress to impress introduced Charli to me 😭🙏🙏,1,2025-04-29T21:29:47Z
CPWxExGk7PM,@KrisEilish99,🍏🍏🍏,0,2025-04-29T15:51:56Z
CPWxExGk7PM,@B3TO2003,en mi opinión la mejor canción del álbum,0,2025-04-29T14:25:40Z
CPWxExGk7PM,@Blaze_Dady,"THIS SONG IS CALLED BRATTY, OKAY? I HATE MUSIC VIDEOS AND LYRIC VIDEOS!!! CHARLIE XCX, WHAT ELSE DO YOU WANT FROM US?!",0,2025-04-29T14:09:52Z
CPWxExGk7PM,@childeofepickness,do you?,0,2025-04-29T04:25:16Z
CPWxExGk7PM,@Eastonplaysadoptme,(flash warning) i love this song but my eyes hurt now!,1,2025-04-28T23:41:34Z
CPWxExGk7PM,@pluhmc,"i got epilepsy attacks from this music video, 11/10.",1,2025-04-28T17:54:06Z
CPWxExGk7PM,@jessicaorwateva,She did her big one on this song!!!,0,2025-04-28T03:38:52Z
CPWxExGk7PM,@vani6640,This song is soo fleabag core,2,2025-04-27T12:16:05Z
CPWxExGk7PM,@EmmaParada-p1v,*★my type fpr sure ★,3,2025-04-26T22:34:32Z
CPWxExGk7PM,@jasithegreat6712,Now I want the dti brat summer back 😭,6,2025-04-26T14:48:25Z
CPWxExGk7PM,@MS-dy1jl,The Airport 🍏 The Airport 🍏 The Airport 🍏,4,2025-04-26T14:03:57Z
CPWxExGk7PM,@viliamtopshiov3321,My eyes died,2,2025-04-26T09:32:29Z
CPWxExGk7PM,@Roblox_evade_18,OMG THIS IS THE BEST AND CLEANEST BRAT EDIT IVE SEEN,4,2025-04-25T21:01:27Z
CPWxExGk7PM,@Nela_ginger,🅐🅜 🅘 🅣🅗🅔 🅞🅝🅛🅨 🅞🅝🅔 🅦🅗🅞 🅗🅔🅐🅡🅢 🅑🅔 🅐 🅑🅞🅨 🅘🅝🅢🅣🅔🅐🅓 🅞🅕 🅣🅗🅔 🅐🅘🅡🅟🅞🅡🅣?,2,2025-04-25T12:21:24Z
CPWxExGk7PM,@hhopko,is it just me or this song screams SNOW WHITE 🍏 🍏  the rotten apple,1,2025-04-25T08:51:55Z
CPWxExGk7PM,@randomperson-q3n,Anyone here from Wilcox High School?,1,2025-04-25T03:03:21Z
CPWxExGk7PM,@dayg0re,"its just so bad, i genuinely cant even convince myself its not horrendous",1,2025-04-24T22:00:30Z
CPWxExGk7PM,@MariaIvezaj,She is such a baddie also I would add gel coat on you nails?💅🏻,0,2025-04-24T21:28:08Z
CPWxExGk7PM,@Lovediamond-u8g,"THE AIRPORT.      

I thought it said.  The apple",0,2025-04-24T19:51:54Z
CPWxExGk7PM,@mirtacanelas2500,Yasssssss baddie,0,2025-04-24T14:19:05Z
CPWxExGk7PM,@mirtacanelas2500,This girl is on fire 🔥,0,2025-04-24T14:18:34Z
CPWxExGk7PM,@yuri-m7i2z,This masterpiece was 10 months ago??? I miss DTI and brat summer even if it's like months ago 😭😭,0,2025-04-24T12:38:38Z
CPWxExGk7PM,@dendethegrey,Why is the sensory warning so small. This song is garbage as well,0,2025-04-24T11:32:36Z
CPWxExGk7PM,@danielmosqueda2462,The moment she says “sy-met-rical- lines” feels like modern art,0,2025-04-24T01:05:43Z
CPWxExGk7PM,@ChrisAhmad-d2x,Easy,0,2025-04-24T00:12:20Z
CPWxExGk7PM,@TeejR18,"As a rap fan, this album SLAPS",0,2025-04-23T18:48:45Z
CPWxExGk7PM,@valentinamurilloarce9407,nostalgia brat x dress to impress 2024😢😢,3,2025-04-22T01:36:14Z
CPWxExGk7PM,@RainbowGamerOfficiall,Summer 2024 was something else❤,1,2025-04-21T22:52:48Z
